web-scraper-order,web-scraper-start-url,title,title-href,reviews,price
1611929838-2916,https://www.daraz.pk/health-beauty-tools/?location=-178&page=71&price=100-700&rating=4,Mini Portable Electric Splint Crimper Flat Iron Ceramic Hair Curler & Straightener Hair Perming Hair Styling Appliance Hair Crimper,https://www.daraz.pk/products/mini-portable-electric-splint-crimper-flat-iron-ceramic-hair-curler-straightener-hair-perming-hair-styling-appliance-hair-crimper-i138076575-s1298194553.html?search=1,-72,Rs. 399
1611929887-3205,https://www.daraz.pk/health-beauty-tools/?location=-178&page=63&price=100-700&rating=4,Nova 1290 - Foldable Hair Dryer 1000W - Heavy Duty Electrical Foldable Hair Dryer,https://www.daraz.pk/products/nova-1290-foldable-hair-dryer-1000w-heavy-duty-electrical-foldable-hair-dryer-i120452374-s1275240696.html?search=1,-71,Rs. 612
1611930215-5333,https://www.daraz.pk/health-beauty-tools/?location=-178&page=10&price=100-700&rating=4,Meso Roller 0.5mm Micro Anti Bacterial Needle Derma Roller for Wrinkles Stretch Marks Cellulite Anti Aging & Better Skincare Absorption Micro Needling Rejuvenation System,https://www.daraz.pk/products/meso-roller-05mm-micro-anti-bacterial-needle-derma-roller-for-wrinkles-stretch-marks-cellulite-anti-aging-better-skincare-absorption-micro-needling-rejuvenation-system-i137232790-s1297360968.html?search=1,-71,Rs. 199
1611930042-4226,https://www.daraz.pk/health-beauty-tools/?location=-178&page=38&price=100-700&rating=4,Anti Crack Foot Protector Silicone Socks,https://www.daraz.pk/products/anti-crack-foot-protector-silicone-socks-i114202580-s1265938017.html?search=1,-70,Rs. 290
1611930258-5613,https://www.daraz.pk/health-beauty-tools/?location=-178&page=3&price=100-700&rating=4,Apple Portable Handled Triangle Vibration Electric Massager Use USB Cable or 3pcs AAA Batteries ( Come with USB Cable),https://www.daraz.pk/products/apple-portable-handled-triangle-vibration-electric-massager-use-usb-cable-or-3pcs-aaa-batteries-come-with-usb-cable-i106450661-s1254586243.html?search=1,-70,Rs. 259
1611929975-3789,https://www.daraz.pk/health-beauty-tools/?location=-178&page=49&price=100-700&rating=4,Flawless Women Painless Hair Remover Face Facial Hair Remover,https://www.daraz.pk/products/flawless-women-painless-hair-remover-face-facial-hair-remover-i128828338-s1288177468.html?search=1,-70,Rs. 320
1611930110-4664,https://www.daraz.pk/health-beauty-tools/?location=-178&page=27&price=100-700&rating=4,Pack of 2 - Beauty Blender and Silicon Sponge,https://www.daraz.pk/products/pack-of-2-beauty-blender-and-silicon-sponge-i136592790-s1296842835.html?search=1,-69,Rs. 130
1611930270-5712,https://www.daraz.pk/health-beauty-tools/?location=-178&page=1&price=100-700&rating=4,5 In 1 Deep Clean Electric Facial Cleaner Body Cleaning Face Care Brush Mini Skin Beauty Massager,https://www.daraz.pk/products/5-in-1-deep-clean-electric-facial-cleaner-body-cleaning-face-care-brush-mini-skin-beauty-massager-i117768284-s1270758307.html?search=1,-69,Rs. 399
1611929993-3903,https://www.daraz.pk/health-beauty-tools/?location=-178&page=46&price=100-700&rating=4,"Face Massager for Facial, Facial Massager Machine, 5 in 1 facial massager, 5 in 1 beauty care massager for Removing Blackhead Exfoliating and Massaging",https://www.daraz.pk/products/face-massager-for-facial-facial-massager-machine-5-in-1-facial-massager-5-in-1-beauty-care-massager-for-removing-blackhead-exfoliating-and-massaging-i124466770-s1282176833.html?search=1,-68,Rs. 399
1611930042-4218,https://www.daraz.pk/health-beauty-tools/?location=-178&page=38&price=100-700&rating=4,Pack of 10 - Professional Salon Hair Comb Set - Black,https://www.daraz.pk/products/pack-of-10-professional-salon-hair-comb-set-black-i140160691-s1300188808.html?search=1,-67,Rs. 245
